Country1,Country2
Afghanistan,Iran
Afghanistan,Pakistan
Afghanistan,Turkmenistan
Afghanistan,Uzbekistan
Afghanistan,Tajikistan
Afghanistan,China
Angola,Republic of the Congo
Angola,DR Congo
Angola,Zambia
Angola,Namibia
Albania,Montenegro
Albania,Greece
Albania,North Macedonia
Albania,Kosovo
Andorra,France
Andorra,Spain
United Arab Emirates,Oman
United Arab Emirates,Saudi Arabia
Argentina,Bolivia
Argentina,Brazil
Argentina,Chile
Argentina,Paraguay
Argentina,Uruguay
Armenia,Azerbaijan
Armenia,Georgia
Armenia,Iran
Armenia,Turkey
Austria,Czechia
Austria,Germany
Austria,Hungary
Austria,Italy
Austria,Liechtenstein
Austria,Slovakia
Austria,Slovenia
Austria,Switzerland
Azerbaijan,Armenia
Azerbaijan,Georgia
Azerbaijan,Iran
Azerbaijan,Russia
Azerbaijan,Turkey
Burundi,DR Congo
Burundi,Rwanda
Burundi,Tanzania
Belgium,France
Belgium,Germany
Belgium,Luxembourg
Belgium,Netherlands
Benin,Burkina Faso
Benin,Niger
Benin,Nigeria
Benin,Togo
Burkina Faso,Benin
Burkina Faso,Ivory Coast
Burkina Faso,Ghana
Burkina Faso,Mali
Burkina Faso,Niger
Burkina Faso,Togo
Bangladesh,Myanmar
Bangladesh,India
Bulgaria,Greece
Bulgaria,North Macedonia
Bulgaria,Romania
Bulgaria,Serbia
Bulgaria,Turkey
Bosnia and Herzegovina,Croatia
Bosnia and Herzegovina,Montenegro
Bosnia and Herzegovina,Serbia
Belarus,Latvia
Belarus,Lithuania
Belarus,Poland
Belarus,Russia
Belarus,Ukraine
Belize,Guatemala
Belize,Mexico
Bolivia,Argentina
Bolivia,Brazil
Bolivia,Chile
Bolivia,Paraguay
Bolivia,Peru
Brazil,Argentina
Brazil,Bolivia
Brazil,Colombia
Brazil,French Guiana
Brazil,Guyana
Brazil,Paraguay
Brazil,Peru
Brazil,Suriname
Brazil,Uruguay
Brazil,Venezuela
Brunei,Malaysia
Bhutan,China
Bhutan,India
Botswana,Namibia
Botswana,South Africa
Botswana,Zambia
Botswana,Zimbabwe
Central African Republic,Cameroon
Central African Republic,Chad
Central African Republic,DR Congo
Central African Republic,Republic of the Congo
Central African Republic,South Sudan
Central African Republic,Sudan
Canada,United States
Switzerland,Austria
Switzerland,France
Switzerland,Italy
Switzerland,Liechtenstein
Switzerland,Germany
Chile,Argentina
Chile,Bolivia
Chile,Peru
China,Afghanistan
China,Bhutan
China,Myanmar
China,Hong Kong
China,India
China,Kazakhstan
China,Nepal
China,North Korea
China,Kyrgyzstan
China,Laos
China,Macau
China,Mongolia
China,Pakistan
China,Russia
China,Tajikistan
China,Vietnam
Ivory Coast,Burkina Faso
Ivory Coast,Ghana
Ivory Coast,Guinea
Ivory Coast,Liberia
Ivory Coast,Mali
Cameroon,Central African Republic
Cameroon,Chad
Cameroon,Republic of the Congo
Cameroon,Equatorial Guinea
Cameroon,Gabon
Cameroon,Nigeria
DR Congo,Angola
DR Congo,Burundi
DR Congo,Central African Republic
DR Congo,Republic of the Congo
DR Congo,Rwanda
DR Congo,South Sudan
DR Congo,Tanzania
DR Congo,Uganda
DR Congo,Zambia
Republic of the Congo,Angola
Republic of the Congo,Cameroon
Republic of the Congo,Central African Republic
Republic of the Congo,DR Congo
Republic of the Congo,Gabon
Colombia,Brazil
Colombia,Ecuador
Colombia,Panama
Colombia,Peru
Colombia,Venezuela
Costa Rica,Nicaragua
Costa Rica,Panama
Czechia,Austria
Czechia,Germany
Czechia,Poland
Czechia,Slovakia
Germany,Austria
Germany,Belgium
Germany,Czechia
Germany,Denmark
Germany,France
Germany,Luxembourg
Germany,Netherlands
Germany,Poland
Germany,Switzerland
Djibouti,Eritrea
Djibouti,Ethiopia
Djibouti,Somalia
Denmark,Germany
Dominican Republic,Haiti
Algeria,Tunisia
Algeria,Libya
Algeria,Niger
Algeria,Western Sahara
Algeria,Mauritania
Algeria,Mali
Algeria,Morocco
Ecuador,Colombia
Ecuador,Peru
Egypt,Israel
Egypt,Libya
Egypt,Palestine
Egypt,Sudan
Eritrea,Djibouti
Eritrea,Ethiopia
Eritrea,Sudan
Western Sahara,Algeria
Western Sahara,Mauritania
Western Sahara,Morocco
Spain,Andorra
Spain,France
Spain,Gibraltar
Spain,Portugal
Spain,Morocco
Estonia,Latvia
Estonia,Russia
Ethiopia,Djibouti
Ethiopia,Eritrea
Ethiopia,Kenya
Ethiopia,Somalia
Ethiopia,South Sudan
Ethiopia,Sudan
Finland,Norway
Finland,Sweden
Finland,Russia
France,Andorra
France,Belgium
France,Germany
France,Italy
France,Luxembourg
France,Monaco
France,Spain
France,Switzerland
Gabon,Cameroon
Gabon,Republic of the Congo
Gabon,Equatorial Guinea
United Kingdom,Ireland
Georgia,Armenia
Georgia,Azerbaijan
Georgia,Russia
Georgia,Turkey
Ghana,Burkina Faso
Ghana,Ivory Coast
Ghana,Togo
Gibraltar,Spain
Guinea,Ivory Coast
Guinea,Guinea-Bissau
Guinea,Liberia
Guinea,Mali
Guinea,Senegal
Guinea,Sierra Leone
Gambia,Senegal
Guinea-Bissau,Guinea
Guinea-Bissau,Senegal
Equatorial Guinea,Cameroon
